# t x vx y vy xd vxd yd vyd
0.51000000  7.21248926 14.14213581  5.93669857  9.13903543  7.21248926 14.14213581  5.96171407  9.13903543
0.52000000  7.35391062 14.14213581  6.02759843  9.04093543  7.35391062 14.14213581  6.05310443  9.04093543
0.53000000  7.49533198 14.14213581  6.11751728  8.94283543  7.49533198 14.14213581  6.14351378  8.94283543
0.54000000  7.63675334 14.14213581  6.20645513  8.84473543  7.63675334 14.14213581  6.23294213  8.84473543
0.55000000  7.77817470 14.14213581  6.29441199  8.74663543  7.77817470 14.14213581  6.32138949  8.74663543
0.56000000  7.91959606 14.14213581  6.38138784  8.64853543  7.91959606 14.14213581  6.40885584  8.64853543
0.57000000  8.06101741 14.14213581  6.46738270  8.55043543  8.06101741 14.14213581  6.49534120  8.55043543
0.58000000  8.20243877 14.14213581  6.55239655  8.45233543  8.20243877 14.14213581  6.58084555  8.45233543
0.59000000  8.34386013 14.14213581  6.63642941  8.35423543  8.34386013 14.14213581  6.66536891  8.35423543
0.60000000  8.48528149 14.14213581  6.71948126  8.25613543  8.48528149 14.14213581  6.74891126  8.25613543
0.61000000  8.62670285 14.14213581  6.80155211  8.15803543  8.62670285 14.14213581  6.83147261  8.15803543
0.62000000  8.76812420 14.14213581  6.88264197  8.05993543  8.76812420 14.14213581  6.91305297  8.05993543
0.63000000  8.90954556 14.14213581  6.96275082  7.96183543  8.90954556 14.14213581  6.99365232  7.96183543
0.64000000  9.05096692 14.14213581  7.04187868  7.86373543  9.05096692 14.14213581  7.07327068  7.86373543
0.65000000  9.19238828 14.14213581  7.12002553  7.76563543  9.19238828 14.14213581  7.15190803  7.76563543
0.66000000  9.33380964 14.14213581  7.19719139  7.66753543  9.33380964 14.14213581  7.22956439  7.66753543
0.67000000  9.47523099 14.14213581  7.27337624  7.56943543  9.47523099 14.14213581  7.30623974  7.56943543
0.68000000  9.61665235 14.14213581  7.34858010  7.47133543  9.61665235 14.14213581  7.38193410  7.47133543
0.69000000  9.75807371 14.14213581  7.42280295  7.37323543  9.75807371 14.14213581  7.45664745  7.37323543
0.70000000  9.89949507 14.14213581  7.49604480  7.27513543  9.89949507 14.14213581  7.53037980  7.27513543
0.71000000 10.04091643 14.14213581  7.56830566  7.17703543 10.04091643 14.14213581  7.60313116  7.17703543
0.72000000 10.18233779 14.14213581  7.63958551  7.07893543 10.18233779 14.14213581  7.67490151  7.07893543
0.73000000 10.32375914 14.14213581  7.70988437  6.98083543 10.32375914 14.14213581  7.74569087  6.98083543
0.74000000 10.46518050 14.14213581  7.77920222  6.88273543 10.46518050 14.14213581  7.81549922  6.88273543
0.75000000 10.60660186 14.14213581  7.84753908  6.78463543 10.60660186 14.14213581  7.88432658  6.78463543
0.76000000 10.74802322 14.14213581  7.91489493  6.68653543 10.74802322 14.14213581  7.95217293  6.68653543
0.77000000 10.88944458 14.14213581  7.98126978  6.58843543 10.88944458 14.14213581  8.01903828  6.58843543
0.78000000 11.03086593 14.14213581  8.04666364  6.49033543 11.03086593 14.14213581  8.08492264  6.49033543
0.79000000 11.17228729 14.14213581  8.11107649  6.39223543 11.17228729 14.14213581  8.14982599  6.39223543
0.80000000 11.31370865 14.14213581  8.17450835  6.29413543 11.31370865 14.14213581  8.21374835  6.29413543
0.81000000 11.45513001 14.14213581  8.23695920  6.19603543 11.45513001 14.14213581  8.27668970  6.19603543
0.82000000 11.59655137 14.14213581  8.29842906  6.09793543 11.59655137 14.14213581  8.33865006  6.09793543
0.83000000 11.73797272 14.14213581  8.35891791  5.99983543 11.73797272 14.14213581  8.39962941  5.99983543
0.84000000 11.87939408 14.14213581  8.41842576  5.90173543 11.87939408 14.14213581  8.45962776  5.90173543
0.85000000 12.02081544 14.14213581  8.47695262  5.80363543 12.02081544 14.14213581  8.51864512  5.80363543
